Team,GP,W,L,W%,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,+/-
Atlanta Hawks,82,30,52,36.6,48.5,34.5,77.7,44.4,4.2,12.7,32.9,20.5,26.9,76.1,11.9,28.2,40.1,19.2,15.9,7.4,5.4,5.1,24.0,22.6,93.7,-4.8
Boston Celtics,82,24,58,29.3,48.4,34.9,78.7,44.3,5.7,15.6,36.7,20.4,26.6,76.7,11.2,29.2,40.4,19.9,16.5,7.2,4.7,5.5,24.0,21.4,95.8,-3.4
Charlotte Bobcats,82,33,49,40.2,48.8,36.1,81.0,44.6,5.6,15.6,35.7,19.1,26.0,73.4,11.2,28.6,39.8,22.4,14.9,7.8,4.5,5.3,24.2,21.8,96.9,-3.7
Chicago Bulls,82,49,33,59.8,48.2,37.1,81.3,45.7,5.9,15.1,38.8,18.6,25.4,73.4,12.0,31.7,43.7,22.3,16.0,7.8,5.4,5.3,23.3,23.2,98.8,5.0
Cleveland Cavaliers,82,50,32,61.0,48.5,36.3,81.2,44.7,6.0,17.1,35.2,18.1,26.0,69.6,12.7,30.8,43.5,20.8,14.4,7.6,4.3,4.3,21.7,22.0,96.8,3.8
Dallas Mavericks,82,67,15,81.7,48.2,36.7,78.6,46.7,6.5,17.1,38.1,20.1,24.9,80.5,11.2,30.7,41.9,19.9,13.9,6.8,5.0,3.8,22.4,22.1,100.0,7.2
Denver Nuggets,82,45,37,54.9,48.2,38.6,83.0,46.5,5.9,17.6,33.6,22.3,29.9,74.6,12.2,31.2,43.4,23.4,16.5,8.3,5.3,5.2,21.4,23.7,105.4,1.6
Detroit Pistons,82,53,29,64.6,48.5,35.9,79.1,45.4,5.5,15.9,34.4,18.8,24.2,77.4,11.6,29.0,40.5,21.6,12.2,7.1,5.8,3.5,20.4,20.3,96.0,4.2
Golden State Warriors,82,42,40,51.2,48.2,39.8,86.0,46.3,8.5,24.0,35.6,18.5,25.8,71.7,11.5,29.9,41.4,23.8,16.0,9.1,5.7,4.9,23.6,22.3,106.5,-0.3
Houston Rockets,82,52,30,63.4,48.4,35.4,79.6,44.5,8.6,23.1,37.2,17.5,23.2,75.3,10.7,32.6,43.3,20.8,14.2,7.1,4.1,4.3,20.9,19.9,97.0,4.9
Indiana Pacers,82,35,47,42.7,48.2,35.0,80.0,43.8,5.9,16.9,34.6,19.7,25.9,76.0,12.1,29.8,41.8,20.5,16.3,7.3,5.5,5.0,23.3,23.7,95.6,-2.4
Los Angeles Clippers,82,40,42,48.8,48.1,35.1,77.0,45.6,3.8,11.0,34.8,21.6,27.4,78.8,10.8,30.3,41.1,21.5,15.1,7.3,5.8,3.9,22.7,22.3,95.6,-0.5
Los Angeles Lakers,82,42,40,51.2,48.9,37.8,81.3,46.6,7.4,21.0,35.3,20.2,27.1,74.7,10.8,30.4,41.2,22.6,15.5,7.3,5.1,5.0,23.0,23.4,103.3,-0.1
Memphis Grizzlies,82,22,60,26.8,48.7,36.6,78.6,46.5,6.1,16.6,36.7,22.4,29.4,76.1,10.6,29.0,39.5,20.5,16.4,6.9,5.0,5.5,22.3,24.3,101.6,-5.1
Miami Heat,82,44,38,53.7,48.4,35.6,76.7,46.4,6.4,18.8,34.3,17.0,24.6,69.0,10.0,30.8,40.8,20.5,14.6,6.9,5.4,3.8,21.3,21.8,94.6,-0.9
Milwaukee Bucks,82,28,54,34.1,48.4,38.1,81.9,46.5,6.4,18.0,35.6,17.1,23.4,73.3,11.5,27.7,39.2,21.6,15.1,7.2,2.7,5.3,22.2,21.0,99.7,-4.4
Minnesota Timberwolves,82,32,50,39.0,48.8,36.5,79.3,46.1,4.7,13.3,35.3,18.3,23.1,79.2,10.0,30.2,40.1,22.5,15.6,6.5,4.0,4.4,21.4,20.5,96.1,-3.7
New Jersey Nets,82,41,41,50.0,48.5,35.5,77.8,45.7,7.4,20.4,36.3,19.1,26.3,72.7,10.0,30.8,40.8,23.9,14.8,6.1,3.3,4.5,22.8,23.0,97.6,-0.8
New Orleans Hornets,82,39,43,47.6,48.5,36.2,81.4,44.5,5.5,15.3,36.2,17.5,23.7,74.0,12.5,30.6,43.1,18.7,14.5,6.4,4.2,4.8,19.8,21.1,95.5,-1.6
New York Knicks,82,33,49,40.2,48.8,35.4,77.5,45.7,5.8,16.7,34.6,20.9,29.2,71.5,12.6,30.7,43.3,18.7,17.1,6.6,3.2,5.0,23.6,22.9,97.5,-2.9
Orlando Magic,82,40,42,48.8,48.2,35.1,74.3,47.2,4.2,11.7,35.6,20.5,29.2,70.2,11.2,29.5,40.7,18.6,17.0,6.9,5.1,4.6,23.2,23.4,94.8,0.8
Philadelphia 76ers,82,35,47,42.7,48.5,35.8,78.1,45.8,3.5,10.0,34.5,20.0,26.0,76.7,11.0,28.7,39.7,20.4,15.3,7.2,4.8,3.9,20.4,22.0,94.9,-3.0
Phoenix Suns,82,61,21,74.4,48.5,41.3,83.6,49.4,9.6,24.0,39.9,18.0,22.3,80.8,9.0,31.5,40.5,25.9,14.5,6.7,4.8,3.7,20.2,21.5,110.2,7.3
Portland Trail Blazers,82,32,50,39.0,48.7,35.0,78.0,45.0,5.2,15.0,34.6,18.8,24.5,76.9,11.3,28.0,39.3,18.5,15.1,6.8,4.6,4.6,23.5,21.3,94.1,-4.3
Sacramento Kings,82,33,49,40.2,48.3,35.9,79.7,45.0,6.5,18.5,35.0,23.1,30.2,76.5,9.7,29.2,38.9,20.3,14.6,8.2,3.2,4.9,21.9,24.3,101.3,-1.8
San Antonio Spurs,82,58,24,70.7,48.2,36.6,77.2,47.4,7.3,19.0,38.1,18.1,24.1,75.1,9.3,31.4,40.7,22.1,13.9,7.2,5.1,4.1,19.4,21.2,98.5,8.4
Seattle SuperSonics,82,31,51,37.8,48.4,37.2,80.8,46.0,6.4,17.7,36.2,18.4,23.3,79.1,11.3,28.3,39.6,20.7,15.5,7.7,3.7,4.2,22.0,19.9,99.1,-2.9
Toronto Raptors,82,47,35,57.3,48.2,37.0,79.8,46.3,6.5,17.9,36.3,19.0,24.2,78.8,9.2,30.2,39.5,22.2,13.5,7.1,3.9,3.9,20.4,21.8,99.5,1.0
Utah Jazz,82,51,31,62.2,48.3,37.4,78.9,47.4,4.3,12.9,33.5,22.3,30.0,74.3,12.6,30.0,42.5,24.7,15.6,7.0,4.1,5.3,25.2,24.5,101.5,2.9
Washington Wizards,82,41,41,50.0,48.4,37.4,83.2,45.0,6.8,19.7,34.8,22.6,29.6,76.5,12.2,29.0,41.2,20.2,13.8,7.7,4.6,4.6,22.2,23.5,104.3,-0.5
