Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Houston Rockets,HOU @ DAL,2015-04-24,W,240,130,48,93,51.6,13,24,54.2,21,28,75.0,17,29,46,23,4,2,14,28,2
Houston Rockets,HOU vs. GSW,2015-05-25,W,240,128,43,76,56.6,17,32,53.1,25,43,58.1,4,42,46,22,8,10,17,16,13
Los Angeles Clippers,LAC vs. HOU,2015-05-10,W,240,128,39,79,49.4,13,31,41.9,37,63,58.7,10,41,51,27,9,5,11,22,33
Dallas Mavericks,DAL vs. HOU,2015-04-24,L,240,128,45,86,52.3,11,29,37.9,27,35,77.1,14,29,43,27,9,6,10,28,-2
Washington Wizards,WAS vs. TOR,2015-04-26,W,240,125,41,74,55.4,15,26,57.7,28,34,82.4,8,34,42,30,10,4,14,18,31
Houston Rockets,HOU vs. LAC,2015-05-12,W,240,124,46,85,54.1,9,29,31.0,23,38,60.5,15,43,58,29,5,3,11,24,21
Los Angeles Clippers,LAC vs. HOU,2015-05-08,W,240,124,46,83,55.4,13,29,44.8,19,23,82.6,12,38,50,26,12,6,18,27,25
Golden State Warriors,GSW @ NOP,2015-04-23,W,265,123,42,104,40.4,14,41,34.1,25,30,83.3,22,29,51,24,4,6,10,22,4
Dallas Mavericks,DAL vs. HOU,2015-04-26,W,240,121,51,94,54.3,10,28,35.7,9,21,42.9,16,36,52,25,3,5,15,28,12
Chicago Bulls,CHI @ MIL,2015-04-30,W,240,120,46,90,51.1,15,30,50.0,13,16,81.3,10,40,50,31,7,2,12,14,54
Brooklyn Nets,BKN vs. ATL,2015-04-27,W,265,120,46,96,47.9,14,31,45.2,14,21,66.7,11,29,40,25,13,5,10,19,5
Houston Rockets,HOU @ LAC,2015-05-14,W,240,119,37,87,42.5,13,32,40.6,32,47,68.1,15,45,60,19,8,5,10,22,12
New Orleans Pelicans,NOP vs. GSW,2015-04-23,L,265,119,46,90,51.1,6,21,28.6,21,26,80.8,13,34,47,25,7,8,15,28,-4
Cleveland Cavaliers,CLE vs. ATL,2015-05-26,W,240,118,43,87,49.4,13,31,41.9,19,30,63.3,13,43,56,23,5,7,10,18,30
Houston Rockets,HOU vs. DAL,2015-04-18,W,240,118,38,85,44.7,10,25,40.0,32,45,71.1,8,36,44,26,11,9,13,22,10
Los Angeles Clippers,LAC @ HOU,2015-05-04,W,240,117,41,84,48.8,13,31,41.9,22,30,73.3,9,33,42,31,14,6,23,22,16
Washington Wizards,WAS @ TOR,2015-04-21,W,240,117,42,79,53.2,10,21,47.6,23,34,67.6,10,35,45,26,6,6,16,24,11
Golden State Warriors,GSW @ HOU,2015-05-25,L,240,115,44,97,45.4,20,46,43.5,7,13,53.8,10,37,47,26,9,9,15,29,-13
Golden State Warriors,GSW @ HOU,2015-05-23,W,240,115,44,97,45.4,11,28,39.3,16,20,80.0,17,43,60,26,9,6,14,27,35
Houston Rockets,HOU vs. LAC,2015-05-06,W,240,115,34,80,42.5,5,26,19.2,42,64,65.6,15,39,54,20,6,10,14,27,6
Atlanta Hawks,ATL @ BKN,2015-04-27,L,265,115,46,95,48.4,13,33,39.4,10,15,66.7,18,37,55,27,7,6,18,19,-5
Memphis Grizzlies,MEM @ POR,2015-04-25,W,240,115,36,77,46.8,4,9,44.4,39,43,90.7,6,32,38,18,3,6,7,22,6
Cleveland Cavaliers,CLE vs. ATL,2015-05-24,W,265,114,40,97,41.2,14,36,38.9,20,29,69.0,19,37,56,24,3,6,13,24,3
Los Angeles Clippers,LAC @ SAS,2015-04-26,W,240,114,45,84,53.6,5,18,27.8,19,26,73.1,6,37,43,24,7,6,10,24,9
Houston Rockets,HOU vs. LAC,2015-05-17,W,240,113,35,78,44.9,12,30,40.0,31,41,75.6,4,36,40,22,11,4,17,21,13
Chicago Bulls,CHI @ MIL,2015-04-23,W,290,113,40,89,44.9,14,33,42.4,19,24,79.2,12,38,50,25,11,6,18,20,7
Cleveland Cavaliers,CLE vs. BOS,2015-04-19,W,240,113,37,82,45.1,13,31,41.9,26,33,78.8,15,31,46,19,6,5,13,23,13
Atlanta Hawks,ATL @ CLE,2015-05-24,L,265,111,36,88,40.9,11,30,36.7,28,32,87.5,6,36,42,20,9,3,7,25,-3
Los Angeles Clippers,LAC vs. SAS,2015-05-02,W,240,111,40,76,52.6,14,27,51.9,17,25,68.0,7,36,43,26,6,7,12,21,2
Atlanta Hawks,ATL @ BKN,2015-05-01,W,240,111,43,85,50.6,13,32,40.6,12,15,80.0,6,39,45,34,11,3,12,21,24
San Antonio Spurs,SAS @ LAC,2015-04-28,W,240,111,36,81,44.4,11,23,47.8,28,37,75.7,12,35,47,21,4,2,16,32,4
San Antonio Spurs,SAS @ LAC,2015-04-22,W,265,111,42,91,46.2,8,25,32.0,19,26,73.1,10,38,48,26,8,6,9,31,4
Houston Rockets,HOU vs. DAL,2015-04-21,W,240,111,39,88,44.3,6,20,30.0,27,35,77.1,13,36,49,25,5,5,12,23,12
Golden State Warriors,GSW vs. HOU,2015-05-19,W,240,110,43,92,46.7,10,29,34.5,14,22,63.6,14,29,43,27,9,3,13,23,4
Los Angeles Clippers,LAC @ HOU,2015-05-06,L,240,109,39,86,45.3,6,25,24.0,25,32,78.1,6,34,40,20,9,4,12,40,-6
San Antonio Spurs,SAS @ LAC,2015-05-02,L,240,109,43,89,48.3,10,25,40.0,13,20,65.0,13,33,46,26,7,6,10,23,-2
Houston Rockets,HOU @ DAL,2015-04-26,L,240,109,38,81,46.9,7,31,22.6,26,40,65.0,7,31,38,21,10,4,12,24,-12
Portland Trail Blazers,POR vs. MEM,2015-04-25,L,240,109,36,77,46.8,11,27,40.7,26,31,83.9,5,30,35,23,2,4,9,31,-6
Golden State Warriors,GSW @ NOP,2015-04-25,W,240,109,40,79,50.6,13,24,54.2,16,23,69.6,10,29,39,28,6,7,10,18,11
Golden State Warriors,GSW vs. CLE,2015-06-04,W,265,108,39,88,44.3,10,27,37.0,20,22,90.9,11,37,48,24,8,5,12,16,8
Golden State Warriors,GSW @ MEM,2015-05-15,W,240,108,41,81,50.6,15,32,46.9,11,14,78.6,7,40,47,27,1,8,12,24,13
Dallas Mavericks,DAL @ HOU,2015-04-18,L,240,108,44,99,44.4,6,17,35.3,14,17,82.4,14,35,49,19,5,4,17,28,-10
Los Angeles Clippers,LAC vs. HOU,2015-05-14,L,240,107,38,91,41.8,7,30,23.3,24,32,75.0,4,37,41,19,8,7,8,31,-12
Atlanta Hawks,ATL vs. BKN,2015-04-29,W,240,107,40,83,48.2,13,33,39.4,14,20,70.0,8,35,43,25,9,4,11,11,10
Los Angeles Clippers,LAC vs. SAS,2015-04-28,L,240,107,40,86,46.5,1,14,7.1,26,42,61.9,11,35,46,22,11,5,14,27,-4
Los Angeles Clippers,LAC vs. SAS,2015-04-22,L,265,107,39,92,42.4,9,29,31.0,20,37,54.1,16,39,55,23,5,6,12,20,-4
Los Angeles Clippers,LAC vs. SAS,2015-04-19,W,240,107,40,78,51.3,10,18,55.6,17,28,60.7,6,40,46,16,9,8,15,21,15
Houston Rockets,HOU @ GSW,2015-05-19,L,240,106,40,86,46.5,8,22,36.4,18,28,64.3,14,33,47,27,8,6,16,19,-4
Cleveland Cavaliers,CLE vs. CHI,2015-05-12,W,240,106,40,79,50.6,8,24,33.3,18,25,72.0,11,30,41,19,5,12,11,22,5
Atlanta Hawks,ATL @ WAS,2015-05-11,W,240,106,41,87,47.1,9,19,47.4,15,19,78.9,10,27,37,30,8,5,13,20,5
Cleveland Cavaliers,CLE vs. CHI,2015-05-06,W,240,106,37,83,44.6,12,26,46.2,20,29,69.0,14,31,45,19,8,4,10,23,15
Atlanta Hawks,ATL vs. WAS,2015-05-05,W,240,106,37,85,43.5,10,29,34.5,22,25,88.0,11,33,44,30,10,6,10,16,16
Washington Wizards,WAS vs. TOR,2015-04-24,W,240,106,36,76,47.4,12,29,41.4,22,31,71.0,7,38,45,27,4,13,17,22,7
Milwaukee Bucks,MIL vs. CHI,2015-04-23,L,290,106,43,102,42.2,6,19,31.6,14,25,56.0,17,33,50,24,11,7,12,20,-7
Toronto Raptors,TOR vs. WAS,2015-04-21,L,240,106,39,80,48.8,7,18,38.9,21,32,65.6,5,23,28,19,8,1,11,27,-11
Golden State Warriors,GSW vs. NOP,2015-04-18,W,240,106,37,81,45.7,11,29,37.9,21,34,61.8,10,37,47,24,11,6,15,21,7
Golden State Warriors,GSW @ CLE,2015-06-16,W,240,105,37,85,43.5,13,34,38.2,18,29,62.1,7,32,39,28,11,4,9,27,8
San Antonio Spurs,SAS vs. LAC,2015-04-26,L,240,105,37,84,44.0,6,25,24.0,25,35,71.4,11,33,44,20,3,6,8,24,-9
Golden State Warriors,GSW vs. CLE,2015-06-14,W,240,104,36,75,48.0,12,26,46.2,20,34,58.8,11,32,43,25,7,2,17,25,13
Golden State Warriors,GSW vs. HOU,2015-05-27,W,240,104,37,91,40.7,9,29,31.0,21,31,67.7,19,40,59,25,10,4,18,30,14
Washington Wizards,WAS @ ATL,2015-05-03,W,240,104,38,91,41.8,9,25,36.0,19,22,86.4,15,39,54,18,4,4,8,19,6
Golden State Warriors,GSW @ CLE,2015-06-11,W,240,103,36,77,46.8,12,30,40.0,19,27,70.4,6,38,44,24,5,5,7,21,21
Los Angeles Clippers,LAC @ HOU,2015-05-12,L,240,103,38,91,41.8,9,35,25.7,18,31,58.1,13,26,39,22,6,2,7,27,-21
Washington Wizards,WAS vs. ATL,2015-05-09,W,240,103,37,78,47.4,10,28,35.7,19,29,65.5,9,34,43,27,5,5,15,24,2
Houston Rockets,HOU vs. DAL,2015-04-28,W,240,103,37,82,45.1,10,31,32.3,19,36,52.8,11,42,53,22,9,6,21,26,9
Cleveland Cavaliers,CLE @ BOS,2015-04-23,W,240,103,38,84,45.2,12,29,41.4,15,24,62.5,11,34,45,17,9,7,11,18,8
Chicago Bulls,CHI vs. MIL,2015-04-18,W,240,103,38,83,45.8,12,32,37.5,15,22,68.2,10,42,52,30,8,7,19,21,12
Los Angeles Clippers,LAC @ SAS,2015-04-30,W,240,102,38,80,47.5,4,18,22.2,22,31,71.0,10,33,43,22,7,7,10,18,6
Chicago Bulls,CHI @ CLE,2015-05-12,L,240,101,34,86,39.5,7,25,28.0,26,28,92.9,12,28,40,20,5,5,11,23,-5
Golden State Warriors,GSW @ MEM,2015-05-11,W,240,101,38,80,47.5,14,33,42.4,11,16,68.8,10,35,45,22,11,10,21,23,17
Washington Wizards,WAS vs. ATL,2015-05-11,L,240,101,38,85,44.7,12,26,46.2,13,17,76.5,10,31,41,21,5,8,17,19,-5
Atlanta Hawks,ATL @ WAS,2015-05-09,L,240,101,36,81,44.4,7,23,30.4,22,29,75.9,8,30,38,23,10,3,11,26,-2
Houston Rockets,HOU vs. LAC,2015-05-04,L,240,101,38,84,45.2,11,33,33.3,14,24,58.3,6,29,35,24,14,8,24,25,-16
Golden State Warriors,GSW vs. MEM,2015-05-03,W,240,101,39,77,50.6,13,28,46.4,10,15,66.7,7,32,39,26,13,2,16,20,15
Cleveland Cavaliers,CLE @ BOS,2015-04-26,W,240,101,31,78,39.7,7,33,21.2,32,43,74.4,10,40,50,13,9,9,8,30,8
Cleveland Cavaliers,CLE @ GSW,2015-06-04,L,265,100,39,94,41.5,9,31,29.0,13,19,68.4,13,32,45,19,10,5,12,20,-8
Los Angeles Clippers,LAC @ HOU,2015-05-17,L,240,100,41,92,44.6,7,28,25.0,11,17,64.7,15,33,48,23,10,9,18,32,-13
San Antonio Spurs,SAS vs. LAC,2015-04-24,W,240,100,40,76,52.6,10,24,41.7,10,13,76.9,7,40,47,25,9,8,13,14,27
Memphis Grizzlies,MEM vs. POR,2015-04-19,W,240,100,39,88,44.3,3,9,33.3,19,26,73.1,8,40,48,21,8,9,8,18,14
Boston Celtics,BOS @ CLE,2015-04-19,L,240,100,37,79,46.8,8,22,36.4,18,22,81.8,7,27,34,24,7,4,14,29,-13
Golden State Warriors,GSW vs. HOU,2015-05-21,W,240,99,41,77,53.2,8,24,33.3,9,13,69.2,7,32,39,31,7,8,17,17,1
