Team,GP,W,L,W%,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,+/-
Toronto Raptors,82,49,33,59.8,48.4,37.9,83.3,45.5,8.9,25.1,35.2,19.3,24.6,78.7,10.7,30.8,41.5,20.7,12.9,7.5,4.4,5,20.9,20.3,104,3.1
Boston Celtics,82,40,42,48.8,48.5,38.9,87.9,44.3,8,24.6,32.7,15.4,20.5,75.4,11.1,32.7,43.8,24.5,13.8,8.2,3.6,5.3,21.2,18.8,101.4,0.2
Brooklyn Nets,82,38,44,46.3,48.6,37.4,83,45.1,6.6,19.9,33.1,16.6,22.2,74.8,10.3,32,42.4,20.9,13.8,7,4.1,4.5,19.3,20,98,-2.9
Philadelphia 76ers,82,18,64,22,48.3,33.7,82.6,40.8,8.4,26.3,32,16.1,23.8,67.6,11.9,30.9,42.9,20.5,17.7,9.6,5.9,5.5,21.7,20.2,92,-9
New York Knicks,82,17,65,20.7,48.4,35.1,82,42.8,6.8,19.7,34.7,14.8,19.2,76.9,10.6,29.8,40.4,21.3,14.7,7,4.7,4.3,21.6,19.1,91.9,-9.3
Cleveland Cavaliers,82,53,29,64.6,48.2,37.7,82.2,45.8,10.1,27.5,36.7,17.7,23.6,75.1,11.1,31.9,43,22.1,14.3,7.4,4.1,4.5,18.4,20.5,103.1,4.5
Chicago Bulls,82,50,32,61,48.5,36.6,82.9,44.2,7.9,22.3,35.3,19.7,25.2,78.3,11.7,34,45.7,21.7,14,6.3,5.8,5.4,18.2,21.2,100.8,3
Milwaukee Bucks,82,41,41,50,48.6,37.6,82,45.9,6.6,18.3,36.3,16,21.1,75.7,10.7,31.4,42.1,23.6,16.7,9.6,4.9,4.8,22.1,20.1,97.8,0.4
Indiana Pacers,82,38,44,46.3,48.4,36.6,83.2,43.9,7.5,21.2,35.2,16.7,22.2,75.6,10.4,34.4,44.9,21.4,14,6.2,4.6,4.7,21.2,21.4,97.3,0.3
Detroit Pistons,82,32,50,39,48.4,37.1,85.8,43.2,8.6,24.9,34.4,15.8,22.4,70.3,12.8,32.1,44.9,21.6,13.4,7.6,4.7,4.8,19,19.3,98.5,-1
Atlanta Hawks,82,60,22,73.2,48.1,38.1,81.7,46.6,10,26.2,38,16.5,21.2,77.8,8.7,31.8,40.6,25.7,14.2,9.1,4.6,4.9,17.8,19.6,102.5,5.4
Washington Wizards,82,46,36,56.1,48.7,38.3,82.8,46.2,6.1,16.8,36,15.9,21.4,74.2,10.5,34.2,44.7,24,15,7.3,4.6,4.3,20.8,19.6,98.5,0.7
Miami Heat,82,37,45,45.1,48.1,35.2,77.2,45.6,6.8,20.2,33.5,17.5,23.7,74.1,9.1,30,39.1,19.8,14.8,7.8,4.5,4.4,20,20.9,94.7,-2.6
Charlotte Hornets,82,33,49,40.2,48.5,35.5,84.5,42,6.1,19.1,31.8,17,22.8,74.8,10,34.1,44.1,20.2,11.9,6.1,5.5,5.4,18.2,20.8,94.2,-3.2
Orlando Magic,82,25,57,30.5,48.2,37.5,82.8,45.3,6.8,19.5,34.7,13.9,19.1,72.9,10,31.8,41.8,20.6,14.9,7.9,3.8,5.4,20.9,17.9,95.7,-5.7
